1 1:0.5472440944881891 2:-0.007751937984496138 3:-0.8733602576251804
1 1:0.3366141732283465 2:0.41085271317829464 3:-0.8665596700332374
1 1:0.3366141732283465 2:0.41085271317829464 3:-0.8665596700332374
1 1:0.3366141732283465 2:0.41085271317829464 3:-0.8665596700332374
1 1:0.3366141732283465 2:0.41085271317829464 3:-0.8665596700332374
1 1:0.37401574803149606 2:-0.007751937984496138 3:-0.8753549845841421
1 1:0.3031496062992125 2:-0.17829457364341084 3:-0.8796410380681323
1 1:0.3366141732283465 2:0.41085271317829464 3:-0.8665596700332374
1 1:0.30118110236220486 2:0.193798449612403 3:-0.8750766206810184
1 1:0.4114173228346456 2:-0.3023255813953488 3:-0.823846847041719
1 1:0.4606299212598426 2:0.03875968992248069 3:-0.8384446554409062
1 1:0.5137795275590551 2:-0.16279069767441856 3:-0.8387820183398759
1 1:0.32283464566929143 2:0.41085271317829464 3:-0.8203650607644596
1 1:0.344488188976378 2:-0.06976744186046513 3:-0.8294483477041557
1 1:0.22637795275590555 2:0.0852713178294573 3:-0.824483230476142
1 1:0.22637795275590555 2:0.0852713178294573 3:-0.824483230476142
1 1:0.4881889763779528 2:-0.16279069767441856 3:-0.8277934026338395
1 1:0.5334645669291338 2:-0.17829457364341084 3:-0.832522854993598
1 1:0.4881889763779528 2:-0.16279069767441856 3:-0.8277934026338395
1 1:0.32283464566929143 2:-0.131782945736434 3:-0.7838960322558673
1 1:0.35629921259842523 2:-0.5038759689922481 3:-0.7941014463698113
1 1:0.4448818897637794 2:-0.16279069767441856 3:-0.7931008892477425
1 1:0.32283464566929143 2:-0.131782945736434 3:-0.7838960322558673
1 1:0.32283464566929143 2:-0.03875968992248069 3:-0.7955013923867521
1 1:0.5393700787401574 2:-0.22480620155038766 3:-0.7972864451452075
1 1:0.32283464566929143 2:-0.03875968992248069 3:-0.7955013923867521
1 1:0.28937007874015763 2:0.17829457364341073 3:-0.800348036483596
1 1:0.28937007874015763 2:0.17829457364341073 3:-0.800348036483596
1 1:0.49606299212598426 2:-0.2558139534883721 3:-0.7519355047442934
1 1:0.26771653543307083 2:-0.131782945736434 3:-0.7530944458192999
1 1:0.3169291338582678 2:-0.023255813953488413 3:-0.7650163171702578
1 1:0.49606299212598426 2:-0.2558139534883721 3:-0.7519355047442934
1 1:0.3169291338582678 2:-0.023255813953488413 3:-0.7650163171702578
1 1:0.4803149606299213 2:-0.2713178294573644 3:-0.7619186874493612
1 1:0.3169291338582678 2:0.20930232558139528 3:-0.768812476643284
1 1:0.34251968503937014 2:0.4418604651162792 3:-0.7440415878361715
1 1:0.40157480314960625 2:-0.2713178294573644 3:-0.7150778161325146
1 1:0.4940944881889764 2:-0.24031007751937983 3:-0.7182974056543855
1 1:0.3366141732283465 2:0.023255813953488413 3:-0.7371725131737392
1 1:0.3366141732283465 2:0.023255813953488413 3:-0.7371725131737392
1 1:0.5059055118110236 2:-0.2093023255813954 3:-0.7219209391342183
1 1:0.3248031496062993 2:-0.24031007751937983 3:-0.7179581747072006
1 1:0.3366141732283465 2:0.023255813953488413 3:-0.7371725131737392
1 1:0.3169291338582678 2:0.22480620155038755 3:-0.7411402922745814
1 1:0.3720472440944882 2:-0.2093023255813954 3:-0.6858934838140127
1 1:0.45669291338582685 2:-0.4728682170542635 3:-0.7046433329158593
1 1:0.3366141732283465 2:-0.1937984496124031 3:-0.6852684015744788
1 1:0.45669291338582685 2:-0.4728682170542635 3:-0.7046433329158593
1 1:0.4330708661417324 2:-0.39534883720930236 3:-0.6914519715328007
1 1:0.4940944881889764 2:-0.41085271317829464 3:-0.6866987674140527
1 1:0.3326771653543308 2:0.054263565891472965 3:-0.7125942807655679
1 1:0.3169291338582678 2:0.24031007751937983 3:-0.7133867924632169
1 1:0.2696850393700787 2:-0.10077519379844968 3:-0.6985114365520273
1 1:0.3366141732283465 2:-0.1937984496124031 3:-0.6852684015744788
1 1:0.4744094488188977 2:-0.45736434108527135 3:-0.6661899352211946
1 1:0.32874015748031504 2:-0.2558139534883721 3:-0.6520496972643809
1 1:0.31496062992125995 2:-0.14728682170542629 3:-0.6530646596750067
1 1:0.48425196850393704 2:-0.1937984496124031 3:-0.6615033751558901
1 1:0.27362204724409467 2:-0.1937984496124031 3:-0.6652107016082063
1 1:0.34055118110236227 2:-0.22480620155038766 3:-0.6490396779375699
1 1:0.4881889763779528 2:-0.5038759689922481 3:-0.6772558684872925
1 1:0.4468503937007875 2:-0.17829457364341084 3:-0.6600625881196338
1 1:0.3326771653543308 2:0.06976744186046502 3:-0.6874003309345516
1 1:0.44881889763779537 2:-0.34883720930232565 3:-0.6310284733068983
1 1:0.3307086614173229 2:0.0852713178294573 3:-0.6647066414606474
1 1:0.2933070866141734 2:-0.06976744186046513 3:-0.6527376008308337
1 1:0.31299212598425186 2:0.22480620155038755 3:-0.6666924473170495
1 1:0.28543307086614167 2:-0.2093023255813954 3:-0.6355171149508124
1 1:0.4783464566929134 2:-0.5038759689922481 3:-0.6455838211232605
1 1:0.3366141732283465 2:-0.131782945736434 3:-0.6238503383993825
1 1:0.4409448818897639 2:-0.3178294573643411 3:-0.6292305914904268
1 1:0.34842519685039375 2:-0.22480620155038766 3:-0.6228741311879891
1 1:0.3307086614173229 2:0.0852713178294573 3:-0.6647066414606474
1 1:0.32874015748031504 2:-0.1937984496124031 3:-0.5941896840524995
1 1:0.31496062992125995 2:0.22480620155038755 3:-0.6447082344362774
1 1:0.42913385826771666 2:-0.14728682170542629 3:-0.6059363052813271
1 1:0.4665354330708662 2:-0.3798449612403101 3:-0.6051347169950188
1 1:0.36811023622047245 2:-0.1937984496124031 3:-0.598343060096669
1 1:0.31496062992125995 2:0.22480620155038755 3:-0.6447082344362774
1 1:0.4803149606299213 2:-0.4883720930232558 3:-0.6164858281313975
1 1:0.31496062992125995 2:0.22480620155038755 3:-0.6447082344362774
1 1:0.3720472440944882 2:-0.16279069767441856 3:-0.5928313599746406
1 1:0.3267716535433072 2:0.11627906976744184 3:-0.625514623597142
1 1:0.31496062992125995 2:0.22480620155038755 3:-0.6252325712655075
1 1:0.3464566929133859 2:-0.16279069767441856 3:-0.5709255145443654
1 1:0.46259842519685046 2:-0.3798449612403101 3:-0.5730504520837177
1 1:0.43503937007874005 2:-0.14728682170542629 3:-0.5769994652432752
1 1:0.3031496062992125 2:0.007751937984496138 3:-0.613752627344224
1 1:0.3267716535433072 2:0.11627906976744184 3:-0.625514623597142
1 1:0.46850393700787407 2:-0.5038759689922481 3:-0.5883297569640886
1 1:0.3267716535433072 2:0.11627906976744184 3:-0.625514623597142
1 1:0.3267716535433072 2:0.11627906976744184 3:-0.625514623597142
1 1:0.40157480314960625 2:-0.17829457364341084 3:-0.551685532949796
1 1:0.37007874015748055 2:-0.1937984496124031 3:-0.5460318090801327
1 1:0.3031496062992125 2:0.023255813953488413 3:-0.595571198199623
1 1:0.37007874015748055 2:-0.1937984496124031 3:-0.5460318090801327
1 1:0.35629921259842523 2:-0.14728682170542629 3:-0.5473325793285466
1 1:0.4133858267716537 2:-0.131782945736434 3:-0.5455093320419935
1 1:0.3267716535433072 2:0.22480620155038755 3:-0.6064648554030655
1 1:0.3503937007874016 2:-0.131782945736434 3:-0.5489301318509886
1 1:0.3503937007874016 2:-0.131782945736434 3:-0.5489301318509886
1 1:0.5118110236220474 2:-0.5503875968992249 3:-0.5204477325742358
1 1:0.3307086614173229 2:-0.14728682170542629 3:-0.5431097373499363
1 1:0.37598425196850394 2:-0.17829457364341084 3:-0.5256497484489304
1 1:0.35629921259842523 2:-0.131782945736434 3:-0.52360280570926
1 1:0.33464566929133865 2:0.13178294573643412 3:-0.5906555253892265
1 1:0.3326771653543308 2:-0.16279069767441856 3:-0.5298603189409127
1 1:0.38188976377952755 2:-0.17829457364341084 3:-0.5233452363881159
1 1:0.46850393700787407 2:-0.4883720930232558 3:-0.5357948442468354
1 1:0.46456692913385833 2:-0.6744186046511629 3:-0.5385909994234508
1 1:0.5118110236220474 2:-0.5503875968992249 3:-0.5204477325742358
1 1:0.37007874015748055 2:-0.1937984496124031 3:-0.5011314360985047
1 1:0.31496062992125995 2:0.054263565891472965 3:-0.5623027436251352
1 1:0.3307086614173229 2:0.13178294573643412 3:-0.5748277014525232
1 1:0.3503937007874016 2:-0.1937984496124031 3:-0.5192354841923844
1 1:0.3720472440944882 2:-0.16279069767441856 3:-0.5012416961287083
1 1:0.4586614173228347 2:-0.6589147286821706 3:-0.5132025157729001
1 1:0.35629921259842523 2:-0.14728682170542629 3:-0.5027701937107032
1 1:0.35629921259842523 2:-0.14728682170542629 3:-0.5027701937107032
1 1:0.3307086614173229 2:0.13178294573643412 3:-0.5748277014525232
1 1:0.4586614173228347 2:-0.6589147286821706 3:-0.5132025157729001
1 1:0.3661417322834646 2:-0.1937984496124031 3:-0.47751450370615967
1 1:0.30118110236220486 2:-0.03875968992248069 3:-0.533453273796503
1 1:0.3366141732283465 2:0.1472868217054264 3:-0.5601355225873847
1 1:0.49015748031496065 2:-0.6124031007751938 3:-0.4691069690387969
1 1:0.5255905511811023 2:-0.5348837209302326 3:-0.47350754017036434
1 1:0.3779527559055118 2:-0.17829457364341084 3:-0.48147039474023
1 1:0.3779527559055118 2:-0.17829457364341084 3:-0.48147039474023
1 1:0.3110236220472442 2:0.023255813953488413 3:-0.5443618379228425
1 1:0.3366141732283465 2:0.1472868217054264 3:-0.5601355225873847
1 1:0.3110236220472442 2:0.06976744186046502 3:-0.5471752635952963
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:0.08267716535433078 2:0.5193798449612403 3:-0.8313514970514253
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:-0.021653543307086465 2:0.317829457364341 3:-0.8253569132755737
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:-0.015748031496062964 2:0.45736434108527124 3:-0.770749717281451
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:-0.015748031496062964 2:0.45736434108527124 3:-0.770749717281451
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:0.023622047244094446 2:0.34883720930232553 3:-0.7642933280534029
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.02559055118110254 2:0.5193798449612403 3:-0.7204590963976538
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.023622047244094446 2:0.317829457364341 3:-0.7146200598028281
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:-0.0334645669291338 2:0.45736434108527124 3:-0.6757599396936456
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:-0.00393700787401563 2:0.4728682170542635 3:-0.6770828127675508
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6654670772886823
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6224241058114806
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6224241058114806
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6224241058114806
1 1:0.009842519685039575 2:0.33333333333333326 3:-0.6224241058114806
