-1 1:0.5816757082579866 2:0.41176470588235303 3:-0.833709605560222
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.5937311633514164 2:0.39495798319327724 3:-0.7054328844480442
-1 1:0.6757082579867391 2:0.2100840336134453 3:-0.7239978236723695
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7588908981314044 2:-0.4957983193277311 3:-0.743005295233817
-1 1:0.7166968053044003 2:0.4453781512605042 3:-0.6021892985926136
-1 1:0.6829415310427969 2:0.2268907563025211 3:-0.6063798464986441
-1 1:0.7142857142857144 2:-0.6134453781512605 3:-0.631449632587408
-1 1:0.5575647980711271 2:0.41176470588235303 3:-0.5927190414416954
-1 1:0.625075346594334 2:0.15966386554621836 3:-0.6098520192509228
-1 1:0.7142857142857144 2:-0.6134453781512605 3:-0.631449632587408
-1 1:0.7142857142857144 2:-0.6134453781512605 3:-0.631449632587408
-1 1:0.613019891500904 2:0.39495798319327724 3:-0.6007897686493141
-1 1:0.6889692585895117 2:-0.1260504201680671 3:-0.5925808614953971
-1 1:0.7142857142857144 2:-0.6134453781512605 3:-0.631449632587408
-1 1:0.721518987341772 2:0.31092436974789917 3:-0.5231424130411026
-1 1:0.6998191681735986 2:-0.6134453781512605 3:-0.5223720735787342
-1 1:0.7263411693791442 2:-0.6974789915966386 3:-0.5232574321866692
-1 1:0.6998191681735986 2:-0.6134453781512605 3:-0.5223720735787342
-1 1:0.5804701627486437 2:0.2941176470588236 3:-0.49911266072108884
-1 1:0.6998191681735986 2:-0.6134453781512605 3:-0.5223720735787342
-1 1:0.5443037974683544 2:0.4453781512605042 3:-0.492522267178915
-1 1:0.49728752260397835 2:0.34453781512605053 3:-0.5068067344986771
-1 1:0.6576250753465944 2:0.3613445378151261 3:-0.5073931468923184
-1 1:0.6998191681735986 2:-0.6134453781512605 3:-0.5223720735787342
-1 1:0.4960819770946354 2:0.34453781512605053 3:-0.4192810938915079
-1 1:0.6214587100663049 2:0.15966386554621836 3:-0.412619484224089
