1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:-0.15157480314960625 2:0.5348837209302324 3:-0.8653143755448638
1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:-0.0059055118110235005 2:0.4883720930232558 3:-0.8637099993199225
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:-0.08070866141732291 2:0.45736434108527124 3:-0.8149698836550527
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:0.019685039370078705 2:0.4883720930232558 3:-0.8142660087085734
1 1:-0.11614173228346458 2:0.5038759689922481 3:-0.8151805268995559
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.11417322834645671 2:0.5193798449612403 3:-0.7809107230440132
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.04330708661417315 2:0.4728682170542635 3:-0.7717588294625027
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.07480314960629919 2:0.4728682170542635 3:-0.7333809579302741
1 1:-0.08267716535433067 2:0.5038759689922481 3:-0.6982948151281891
1 1:-0.08267716535433067 2:0.5038759689922481 3:-0.6982948151281891
1 1:-0.08267716535433067 2:0.5038759689922481 3:-0.6982948151281891
1 1:-0.08267716535433067 2:0.5038759689922481 3:-0.6982948151281891
